                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9716,                 4.9561,                 2.4438,                0.52766,                0.19206,                0.10785,                0.04113,                  2.134,                 6.9623,                 1.7507,               0.070082,              0.0033243,              0.0033243
                      2,                 2.0912,                 2.8102,                  1.704,                0.61005,                0.30782,                0.38119,                0.17717,                 1.7921,                 2.5135,                 1.4937,                0.04006,              0.0066356,              0.0066356
                      3,                 1.8659,                 2.2018,                 1.5361,                0.54209,                0.61648,                0.64274,                0.34438,                 1.6744,                  3.452,                 1.3811,               0.010016,               0.009925,               0.009925
                      4,                 1.7499,                 1.9102,                 1.4606,                0.59763,                0.61882,                0.69485,                0.40555,                 1.5289,                 1.8999,                   1.32,               0.009901,               0.009901,               0.009901
                      5,                 1.6549,                 1.7083,                 1.3717,                0.52438,                0.79927,                0.80069,                0.44622,                 1.5685,                 1.5898,                 1.2979,               0.009901,               0.009901,               0.009901
                      6,                 1.5919,                 1.5372,                 1.3392,                0.63993,                0.76393,                0.81586,                0.49589,                 1.3847,                 1.4342,                 1.2201,               0.009868,               0.009868,               0.009868
                      7,                 1.5315,                 1.4631,                 1.3097,                0.73669,                0.72562,                0.83341,                 0.5177,                 1.3857,                 1.3147,                 1.2051,               0.009835,               0.009835,               0.009835
                      8,                 1.5139,                 1.3743,                 1.2932,                0.67039,                0.82228,                0.85014,                0.51631,                  1.415,                 1.3464,                 1.1848,               0.009802,               0.009802,               0.009802
                      9,                 1.4731,                 1.2931,                 1.2704,                0.69095,                0.83822,                0.86367,                0.51623,                 1.4407,                 1.4385,                 1.1862,               0.009769,               0.009769,               0.009769
                     10,                 1.4523,                 1.2424,                  1.252,                0.79012,                0.84421,                0.88953,                0.56547,                  1.329,                 1.1035,                 1.1749,               0.009736,               0.009736,               0.009736
                     11,                 1.4605,                 1.2261,                 1.2536,                0.74205,                0.82233,                0.90784,                0.57202,                 1.3474,                 2.0835,                 1.1769,               0.009703,               0.009703,               0.009703
                     12,                 1.4233,                 1.1688,                   1.24,                0.76984,                0.84232,                0.90733,                0.58342,                 1.3006,                  1.338,                 1.1748,                0.00967,                0.00967,                0.00967
                     13,                 1.4206,                 1.1437,                 1.2326,                0.79452,                0.88769,                0.92583,                0.59056,                 1.2784,                 1.0339,                 1.1525,               0.009637,               0.009637,               0.009637
                     14,                 1.3963,                  1.125,                 1.2263,                0.76646,                0.86242,                0.89447,                0.54618,                 1.4003,                 1.0632,                 1.1643,               0.009604,               0.009604,               0.009604
                     15,                 1.3894,                 1.1019,                 1.2132,                 0.8214,                0.83875,                0.93687,                0.61343,                 1.2497,                 1.2776,                 1.1385,               0.009571,               0.009571,               0.009571
                     16,                 1.3646,                 1.0669,                 1.2011,                0.80863,                0.91252,                0.93285,                0.61086,                 1.2444,                0.99195,                 1.1181,               0.009538,               0.009538,               0.009538
                     17,                 1.3744,                 1.0561,                 1.2036,                0.85143,                0.90946,                0.93221,                0.58586,                 1.2911,                0.94896,                 1.1565,               0.009505,               0.009505,               0.009505
                     18,                 1.3591,                 1.0293,                 1.2009,                0.85927,                0.90598,                0.93239,                 0.6157,                 1.2394,                0.84981,                 1.1024,               0.009472,               0.009472,               0.009472
                     19,                 1.3296,                0.99709,                 1.1814,                0.83672,                0.94002,                0.95501,                0.61746,                  1.257,                0.84383,                 1.1223,               0.009439,               0.009439,               0.009439
                     20,                  1.337,                0.98092,                 1.1791,                0.84594,                0.91153,                0.93521,                 0.6074,                 1.2409,                0.80979,                  1.097,               0.009406,               0.009406,               0.009406
                     21,                 1.3204,                0.96538,                 1.1786,                0.86707,                0.91121,                0.94985,                0.63415,                 1.2134,                0.83457,                 1.0929,               0.009373,               0.009373,               0.009373
                     22,                 1.3274,                0.96353,                 1.1801,                0.86031,                0.86046,                0.94182,                0.61223,                 1.2634,                0.87091,                 1.1142,                0.00934,                0.00934,                0.00934
                     23,                 1.2982,                0.93679,                 1.1659,                0.87925,                0.94841,                0.94834,                0.62546,                   1.21,                0.79521,                 1.0878,               0.009307,               0.009307,               0.009307
                     24,                 1.3028,                0.94527,                 1.1761,                0.86444,                 0.9286,                0.94643,                0.64308,                 1.1886,                 0.7908,                  1.078,               0.009274,               0.009274,               0.009274
                     25,                 1.2947,                0.91235,                 1.1557,                0.86463,                0.96126,                0.96044,                0.62909,                 1.2216,                 0.7725,                 1.1068,               0.009241,               0.009241,               0.009241
                     26,                 1.2888,                0.89329,                 1.1598,                 0.8353,                0.94435,                0.95379,                0.62907,                 1.2055,                0.79227,                 1.0897,               0.009208,               0.009208,               0.009208
                     27,                 1.2941,                0.90038,                 1.1672,                0.87539,                0.91933,                0.95685,                 0.6586,                 1.1571,                0.79048,                 1.0599,               0.009175,               0.009175,               0.009175
                     28,                 1.2873,                0.89889,                 1.1525,                0.85044,                0.94778,                0.95893,                  0.627,                 1.1985,                0.75907,                 1.0772,               0.009142,               0.009142,               0.009142
                     29,                 1.2663,                0.88266,                 1.1509,                0.87749,                0.92592,                  0.963,                0.62858,                  1.225,                0.75852,                  1.096,               0.009109,               0.009109,               0.009109
                     30,                 1.2553,                0.86437,                 1.1453,                0.86592,                0.93542,                0.96746,                0.66237,                 1.1518,                0.76663,                 1.0603,               0.009076,               0.009076,               0.009076
                     31,                 1.2505,                0.84386,                 1.1406,                0.83675,                0.96753,                0.96696,                0.65653,                 1.1615,                0.68398,                 1.0672,               0.009043,               0.009043,               0.009043
                     32,                  1.247,                0.83968,                 1.1336,                0.88457,                 0.9376,                0.95206,                0.65163,                 1.1252,                 0.6513,                 1.0624,                0.00901,                0.00901,                0.00901
                     33,                 1.2448,                0.83373,                 1.1299,                0.90955,                0.90811,                0.96396,                0.65163,                 1.1613,                0.70689,                 1.0675,               0.008977,               0.008977,               0.008977
                     34,                 1.2344,                0.83095,                 1.1299,                0.87315,                0.93699,                  0.954,                0.66641,                 1.1288,                0.67229,                 1.0532,               0.008944,               0.008944,               0.008944
                     35,                 1.2376,                 0.8229,                 1.1307,                0.90498,                0.94335,                 0.9575,                0.66417,                 1.0945,                 0.6472,                 1.0392,               0.008911,               0.008911,               0.008911
                     36,                 1.2405,                0.81642,                 1.1363,                0.86353,                0.93008,                0.96229,                0.66865,                 1.1137,                0.64639,                 1.0407,               0.008878,               0.008878,               0.008878
