                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8911,                 9.9542,                 3.8956,                0.56189,                0.04234,                0.01116,                0.00296,                 2.8609,                 10.852,                 2.8785,              0.0033243,              0.0033243,              0.0033243
                      2,                 2.4625,                 5.5381,                 2.2852,                0.47005,                0.13119,                0.13325,                0.06153,                 2.0629,                 3.2305,                 1.8157,              0.0066444,              0.0066444,              0.0066444
                      3,                 2.0855,                  4.237,                 1.8134,                0.64515,                0.14771,                0.20177,                0.09964,                 1.8966,                 3.1182,                   1.57,              0.0099514,              0.0099514,              0.0099514
                      4,                 1.9297,                 3.3585,                 1.6562,                0.65194,                0.35612,                0.37872,                0.18979,                 1.7424,                 2.8662,                 1.4378,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.7809,                 2.5701,                 1.4922,                0.54403,                0.66979,                0.64224,                0.31552,                 1.7129,                 2.1991,                  1.403,              0.0099406,              0.0099406,              0.0099406
                      6,                 1.6981,                   2.12,                 1.4484,                0.65668,                0.57359,                0.68688,                0.40054,                 1.4691,                 1.7354,                 1.2721,              0.0099208,              0.0099208,              0.0099208
                      7,                 1.6263,                 1.8369,                 1.3935,                0.70106,                0.69286,                0.76754,                0.47181,                 1.3738,                 1.8633,                 1.2408,               0.009901,               0.009901,               0.009901
                      8,                 1.5716,                 1.6612,                 1.3648,                0.67192,                0.79514,                0.82251,                0.53827,                 1.2874,                 1.4662,                 1.1905,              0.0098812,              0.0098812,              0.0098812
                      9,                 1.5207,                 1.5384,                 1.3252,                0.73518,                0.79068,                0.85339,                0.54661,                 1.2956,                 1.3076,                 1.1808,              0.0098614,              0.0098614,              0.0098614
                     10,                 1.4866,                 1.4238,                 1.2969,                0.75134,                0.78203,                0.85901,                0.53823,                 1.3506,                 1.4338,                  1.206,              0.0098416,              0.0098416,              0.0098416
                     11,                 1.4664,                 1.3563,                 1.2798,                0.75433,                 0.8384,                0.88745,                0.58597,                 1.2455,                 1.1376,                 1.1643,              0.0098218,              0.0098218,              0.0098218
                     12,                  1.455,                 1.3073,                 1.2767,                0.71873,                0.83543,                0.87124,                0.56011,                 1.2565,                 1.1169,                 1.1471,               0.009802,               0.009802,               0.009802
                     13,                 1.4169,                 1.2303,                 1.2514,                0.81672,                0.81727,                0.89576,                0.56126,                 1.3357,                 1.1493,                 1.1694,              0.0097822,              0.0097822,              0.0097822
                     14,                 1.3955,                 1.1832,                 1.2373,                0.82202,                 0.8246,                0.91501,                0.57397,                 1.2947,                 1.0366,                 1.1465,              0.0097624,              0.0097624,              0.0097624
                     15,                 1.3769,                 1.1301,                 1.2247,                0.86148,                0.89953,                0.95048,                0.60762,                 1.3115,                 1.0344,                 1.1461,              0.0097426,              0.0097426,              0.0097426
                     16,                 1.3419,                 1.0873,                 1.2042,                0.79067,                0.93639,                0.95496,                0.64006,                 1.1834,                 0.9087,                 1.1046,              0.0097228,              0.0097228,              0.0097228
                     17,                 1.3498,                  1.064,                  1.207,                0.84108,                0.89769,                0.93597,                0.61733,                 1.2445,                0.90459,                  1.119,               0.009703,               0.009703,               0.009703
                     18,                 1.3177,                  1.019,                 1.1975,                0.84832,                0.91344,                0.95579,                0.62357,                 1.2245,                0.86761,                 1.1154,              0.0096832,              0.0096832,              0.0096832
                     19,                 1.3089,                0.99255,                 1.1771,                0.84821,                 0.9324,                0.96081,                0.63967,                 1.1838,                0.80755,                 1.0946,              0.0096634,              0.0096634,              0.0096634
                     20,                 1.3066,                0.97482,                  1.173,                0.83329,                0.93221,                0.95325,                0.63987,                 1.2029,                0.86633,                 1.1016,              0.0096436,              0.0096436,              0.0096436
                     21,                 1.2874,                0.94986,                 1.1726,                0.85495,                0.95393,                0.96071,                0.65397,                 1.1752,                0.76647,                 1.0857,              0.0096238,              0.0096238,              0.0096238
                     22,                 1.2821,                0.93445,                 1.1675,                0.89838,                0.90314,                0.95183,                0.61892,                 1.2068,                0.81875,                 1.0851,               0.009604,               0.009604,               0.009604
                     23,                  1.258,                0.91447,                 1.1548,                0.87766,                 0.9564,                0.96024,                 0.6393,                 1.1558,                0.76049,                 1.0738,              0.0095842,              0.0095842,              0.0095842
                     24,                 1.2551,                0.90269,                 1.1617,                0.86576,                0.95634,                0.95918,                0.64944,                  1.155,                0.71894,                 1.0774,              0.0095644,              0.0095644,              0.0095644
                     25,                  1.253,                0.87839,                 1.1426,                0.87293,                0.96051,                0.95591,                 0.6433,                 1.1723,                 0.7328,                 1.0709,              0.0095446,              0.0095446,              0.0095446
                     26,                 1.2391,                0.86059,                 1.1451,                0.88559,                0.95855,                0.96544,                0.67062,                 1.1204,                0.71054,                 1.0583,              0.0095248,              0.0095248,              0.0095248
                     27,                 1.2381,                0.86585,                 1.1457,                0.86762,                0.95737,                0.95126,                0.65416,                  1.109,                0.69964,                 1.0504,               0.009505,               0.009505,               0.009505
                     28,                 1.2288,                0.84972,                 1.1356,                0.89567,                 0.9567,                0.96155,                0.65982,                 1.1227,                 0.6722,                 1.0514,              0.0094852,              0.0094852,              0.0094852
                     29,                 1.2237,                0.83279,                 1.1367,                0.90308,                0.94657,                0.96049,                0.65794,                 1.1445,                0.65829,                 1.0611,              0.0094654,              0.0094654,              0.0094654
                     30,                 1.2151,                0.81207,                 1.1325,                0.89126,                0.95281,                0.95899,                0.66451,                 1.1184,                0.66665,                 1.0485,              0.0094456,              0.0094456,              0.0094456
                     31,                 1.2114,                0.81593,                 1.1264,                0.88589,                0.95997,                0.96448,                0.66402,                 1.1226,                0.66982,                 1.0373,              0.0094258,              0.0094258,              0.0094258
                     32,                 1.2089,                0.80831,                 1.1224,                0.90775,                 0.9363,                0.96896,                0.67904,                  1.085,                0.66627,                 1.0357,               0.009406,               0.009406,               0.009406
                     33,                 1.2032,                0.79224,                 1.1176,                0.92564,                 0.9422,                0.96406,                0.66305,                 1.1163,                0.66482,                 1.0301,              0.0093862,              0.0093862,              0.0093862
                     34,                  1.187,                0.78113,                  1.112,                0.90691,                0.95294,                0.96915,                0.66989,                 1.1084,                0.63267,                 1.0266,              0.0093664,              0.0093664,              0.0093664
                     35,                 1.1974,                0.77732,                 1.1174,                0.90029,                 0.9527,                 0.9606,                0.67939,                 1.0747,                0.64937,                 1.0303,              0.0093466,              0.0093466,              0.0093466
                     36,                 1.1878,                0.77605,                 1.1171,                0.92536,                0.95662,                0.96877,                0.67828,                 1.0971,                0.60806,                 1.0406,              0.0093268,              0.0093268,              0.0093268
                     37,                  1.174,                0.75879,                 1.1155,                0.90995,                0.96389,                0.96543,                0.68177,                 1.0859,                0.59813,                 1.0327,               0.009307,               0.009307,               0.009307
                     38,                 1.1782,                0.76306,                  1.111,                0.88939,                0.96413,                0.96447,                0.66661,                 1.0969,                0.61392,                 1.0367,              0.0092872,              0.0092872,              0.0092872
                     39,                 1.1663,                0.73968,                 1.1071,                0.87814,                0.97721,                0.96615,                0.68278,                 1.0883,                0.60926,                 1.0375,              0.0092674,              0.0092674,              0.0092674
                     40,                 1.1748,                0.75126,                 1.1093,                0.89397,                0.96161,                0.96423,                0.67462,                 1.0651,                0.60626,                 1.0225,              0.0092476,              0.0092476,              0.0092476
                     41,                 1.1641,                0.73645,                 1.1011,                0.90237,                0.94956,                0.96714,                0.68923,                 1.0513,                0.58965,                 1.0171,              0.0092278,              0.0092278,              0.0092278
