fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,mosaic,mixup,copy_paste
0.72801,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,1.0,0.0,0.0
0.7383,0.00999,0.01019,0.937,0.00051,2.84301,0.79927,7.53878,0.5032,1.5,0.01489,0.69124,0.39655,0.0,0.09605,0.49631,0.0,0.0,0.0,0.50571,1.0,0.0,0.0
0.71834,0.01029,0.00812,0.98,0.00051,2.60168,0.73436,9.33506,0.59556,1.5,0.01148,0.56606,0.4488,0.0,0.11391,0.49631,0.0,0.0,0.0,0.57503,1.0,0.0,0.0
0.72161,0.00999,0.01019,0.95434,0.00041,2.22026,0.80505,7.53878,0.48765,1.62597,0.01414,0.63363,0.46914,0.0,0.09897,0.48192,0.0,0.0,0.0,0.39457,0.97871,0.0,0.0
0.7282,0.00893,0.01109,0.937,0.0005,2.77093,0.68142,6.9908,0.57723,2.03707,0.01545,0.7,0.35912,0.0,0.10121,0.42051,0.0,0.0,0.0,0.43105,0.83973,0.0,0.0
0.72434,0.01065,0.01019,0.95574,0.00049,2.22026,0.86825,7.22055,0.48765,1.59551,0.01432,0.64147,0.46914,0.0,0.10834,0.48165,0.0,0.0,0.0,0.37106,1.0,0.0,0.0
0.72491,0.00891,0.01276,0.89307,0.00052,3.00905,0.678,6.14951,0.61122,2.06329,0.01587,0.62618,0.35912,0.0,0.10399,0.44919,0.0,0.0,0.0,0.44209,0.81217,0.0,0.0
2e-05,0.01048,0.01188,0.95409,0.00052,2.52374,0.85387,5.90039,0.47436,1.24462,0.01489,0.65686,0.3968,0.0,0.09605,0.52367,0.0,0.0,0.0,0.43458,0.94579,0.0,0.0
0.71564,0.00952,0.01086,0.91445,0.00062,2.67226,0.79927,9.25117,0.34917,1.5,0.01609,0.83547,0.34418,0.0,0.07067,0.53808,0.0,0.0,0.0,0.49885,1.0,0.0,0.0
0.72955,0.00993,0.00997,0.937,0.00056,2.9873,0.84273,7.72643,0.48844,1.41175,0.01357,0.66381,0.41113,0.0,0.0954,0.47977,0.0,0.0,0.0,0.49912,1.0,0.0,0.0
0.72242,0.00845,0.01183,0.91377,0.00042,2.88086,0.65831,6.9908,0.57723,2.03687,0.01545,0.7,0.38889,0.0,0.11016,0.44872,0.0,0.0,0.0,0.40345,0.95609,0.0,0.0
0.7212,0.00999,0.01019,0.937,0.00051,2.91193,0.79927,7.34464,0.57463,1.5441,0.01489,0.70825,0.42403,0.0,0.10238,0.4869,0.0,0.0,0.0,0.49002,0.96226,0.0,0.0
0.71281,0.00999,0.01021,0.93368,0.00053,2.86584,0.7489,7.35208,0.5032,1.34874,0.01559,0.64624,0.39655,0.0,0.10931,0.49271,0.0,0.0,0.0,0.55111,1.0,0.0,0.0
